CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisits,Churn
72,40,Male,Malacca,Bronze,91,2035.85,Groceries,18/11/2023,Teacher,19,1
73,33,Male,Ipoh,Platinum,64,2249.3,Groceries,23/11/2023,Student,37,0
74,28,Female,Penang,Gold,74,4602.62,Home Goods,4/7/2023,Retired,28,0
75,52,Male,KL,Platinum,48,7271.97,Groceries,27/5/2023,Marketer,27,1
76,58,Female,Penang,Gold,66,6119.63,Groceries,20/7/2023,Retired,1,0
77,56,Male,KL,Platinum,12,5058.89,Groceries,12/1/2023,Retired,20,1
78,72,Female,Ipoh,Gold,62,478.77,Books,31/7/2023,Lawyer,27,0
79,39,Male,Ipoh,Silver,53,2237.48,Groceries,22/3/2023,Artist,25,1
80,52,Female,Ipoh,Platinum,76,4022.01,Electronics,23/6/2023,Chef,0,0
81,71,Female,Malacca,Bronze,80,928.67,Electronics,20/5/2023,Teacher,5,0
82,50,Female,Malacca,Gold,67,8954.57,Electronics,22/10/2023,Chef,34,0
83,60,Female,Penang,Silver,41,2650.17,Clothing,30/3/2023,Marketer,27,0
84,62,Female,Malacca,Gold,78,2143.96,Electronics,14/3/2023,Artist,28,0
85,53,Female,Malacca,Silver,85,5379.13,Electronics,24/8/2023,Chef,15,1
86,59,Female,JB,Silver,76,2584.2,Clothing,28/3/2023,Artist,18,0
87,75,Male,Penang,Platinum,93,264.42,Clothing,16/1/2023,Retired,43,0
88,57,Male,JB,Bronze,12,4078.74,Clothing,7/2/2023,Artist,9,0
89,45,Female,KL,Bronze,58,7729.82,Groceries,15/3/2023,Retired,20,1
90,77,Male,JB,Gold,73,4343.79,Home Goods,13/11/2023,Retired,7,0
91,66,Male,Malacca,Silver,91,5904.38,Clothing,16/5/2023,Chef,23,1
92,28,Male,Ipoh,Silver,97,3995.55,Home Goods,18/11/2023,Retired,6,0
93,22,Male,Malacca,Gold,37,1440.11,Clothing,27/8/2023,Chef,30,0
94,35,Female,Penang,Bronze,46,2740.58,Electronics,21/12/2023,Lawyer,3,0
95,21,Male,Malacca,Platinum,59,8085.86,Home Goods,6/7/2023,Teacher,28,1
96,55,Male,Ipoh,Gold,79,6461.31,Electronics,28/11/2023,Engineer,36,0
97,48,Female,Ipoh,Bronze,82,5789.57,Groceries,27/10/2023,Chef,44,1
98,41,Male,Penang,Gold,39,9214.86,Clothing,22/7/2023,Marketer,6,1
99,47,Male,Malacca,Silver,12,7155.02,Groceries,13/3/2023,Chef,38,1
100,56,Female,Malacca,Silver,25,3202.49,Groceries,19/6/2023,Marketer,25,1
101,77,Male,JB,Platinum,38,8506.28,Clothing,19/1/2023,Student,42,0
102,48,Male,KL,Bronze,3,7314.77,Home Goods,18/4/2023,Engineer,12,1
103,29,Female,KL,Platinum,4,3676.5,Clothing,3/6/2023,Lawyer,2,0
104,20,Male,KL,Silver,31,9982.37,Home Goods,29/12/2023,Student,17,1
105,47,Female,Malacca,Gold,85,460.42,Books,4/5/2023,Student,18,0
106,78,Female,JB,Bronze,65,2620.84,Books,20/4/2023,Student,11,1
107,25,Female,JB,Gold,55,7869.93,Clothing,10/7/2023,Chef,45,0
108,69,Male,KL,Gold,71,9024.99,Home Goods,28/10/2023,Marketer,32,0
109,70,Female,Malacca,Gold,16,4360.06,Books,11/2/2023,Teacher,22,1
110,27,Female,KL,Gold,71,3292,Clothing,23/7/2023,Teacher,22,1
111,41,Female,Ipoh,Silver,77,8599.64,Home Goods,28/10/2023,Engineer,1,1
112,18,Female,JB,Platinum,89,7059.03,Home Goods,2/1/2023,Teacher,2,0
113,66,Female,Penang,Bronze,75,3730.83,Groceries,27/7/2023,Engineer,7,0
114,35,Male,JB,Platinum,99,8346.31,Books,2/9/2023,Chef,33,1
115,58,Male,JB,Platinum,57,9243.33,Clothing,11/3/2023,Teacher,4,0
116,69,Female,KL,Bronze,66,4851.23,Groceries,16/6/2023,Marketer,30,0
117,39,Female,Malacca,Gold,77,3699.35,Groceries,2/10/2023,Doctor,8,1
118,48,Female,KL,Silver,3,4611.02,Home Goods,22/12/2023,Marketer,41,1
119,44,Female,KL,Gold,75,6846.96,Groceries,7/3/2023,Doctor,23,0
120,33,Female,Malacca,Bronze,1,6488.35,Electronics,17/3/2023,Artist,11,0
121,66,Female,KL,Silver,96,5447.65,Home Goods,22/4/2023,Teacher,44,0
122,35,Female,Penang,Platinum,67,7820.21,Electronics,6/5/2023,Chef,31,1
123,28,Female,JB,Gold,8,1258.04,Electronics,21/1/2023,Marketer,32,1
124,35,Female,Penang,Gold,49,3645.86,Electronics,27/6/2023,Doctor,5,0
125,21,Female,Malacca,Platinum,8,1197.56,Clothing,24/10/2023,Student,7,1
126,57,Female,Malacca,Silver,37,5209.25,Groceries,31/1/2023,Chef,22,1
127,27,Female,Ipoh,Silver,49,2395,Home Goods,20/9/2023,Teacher,47,0
128,47,Male,KL,Bronze,1,8823.57,Books,11/1/2023,Chef,25,1
129,21,Female,KL,Bronze,86,9908.97,Clothing,13/3/2023,Teacher,31,1
130,25,Female,Ipoh,Platinum,69,9025.3,Books,15/7/2023,Marketer,6,0
131,34,Male,Ipoh,Platinum,43,7283.74,Groceries,22/1/2023,Retired,38,1
132,52,Female,KL,Platinum,43,6130.14,Electronics,15/7/2023,Doctor,19,1
133,22,Female,KL,Gold,36,3538.03,Home Goods,16/7/2023,Chef,29,0
134,79,Male,KL,Gold,40,3328.6,Home Goods,4/7/2023,Marketer,41,0
135,44,Male,JB,Bronze,36,4210.43,Electronics,13/12/2023,Artist,41,1
136,54,Male,Malacca,Bronze,52,1226.42,Books,24/9/2023,Lawyer,1,1
137,24,Female,JB,Gold,77,7918.75,Books,3/6/2023,Marketer,41,0
138,50,Female,Penang,Bronze,37,5482.93,Books,12/8/2023,Artist,34,1
139,35,Male,JB,Platinum,45,6258.68,Electronics,4/8/2023,Student,37,0
140,73,Male,Penang,Gold,41,9018.81,Electronics,4/9/2023,Teacher,28,1
141,72,Male,JB,Platinum,57,8124.62,Clothing,4/12/2023,Doctor,23,0
142,71,Female,KL,Platinum,72,3941.98,Electronics,7/10/2023,Retired,26,0
143,55,Male,JB,Platinum,89,9886.24,Electronics,17/10/2023,Marketer,32,1
144,73,Male,JB,Platinum,24,462.44,Electronics,29/6/2023,Retired,12,1
145,45,Male,Penang,Silver,5,9898.89,Home Goods,10/10/2023,Artist,42,0
146,69,Male,JB,Bronze,5,4070.06,Books,4/7/2023,Lawyer,0,1
147,32,Female,Penang,Platinum,36,9225.89,Books,9/4/2023,Doctor,11,0
148,77,Female,Penang,Platinum,4,664.19,Books,17/6/2023,Artist,0,1
149,40,Male,Ipoh,Bronze,79,1947.52,Groceries,1/12/2023,Chef,12,0
150,49,Male,Malacca,Gold,58,4761.82,Clothing,29/6/2023,Teacher,17,1
151,26,Male,JB,Silver,71,1577.75,Home Goods,13/7/2023,Teacher,33,1
152,74,Female,KL,Gold,23,1983.64,Books,14/6/2023,Artist,4,1
153,47,Female,Ipoh,Bronze,34,3544.52,Electronics,12/4/2023,Teacher,16,0
154,46,Female,Penang,Silver,73,6180.75,Electronics,2/9/2023,Chef,46,0
155,49,Male,Malacca,Gold,9,1876.73,Books,14/1/2023,Chef,17,1
156,52,Male,JB,Gold,56,6538.72,Electronics,24/4/2023,Student,25,0
157,76,Female,Penang,Bronze,46,9013.41,Books,4/8/2023,Engineer,12,0
158,35,Female,Ipoh,Bronze,35,7721.85,Home Goods,11/1/2023,Lawyer,42,1
159,46,Female,Ipoh,Bronze,95,2142.45,Clothing,10/4/2023,Engineer,44,0
160,65,Male,KL,Platinum,63,4051.3,Groceries,4/8/2023,Chef,3,1
161,34,Female,JB,Platinum,72,7791.13,Clothing,24/11/2023,Chef,42,0
162,26,Male,Malacca,Platinum,50,9930.37,Home Goods,26/3/2023,Chef,3,1
163,77,Female,KL,Bronze,71,359.3,Home Goods,2/10/2023,Retired,48,1
164,73,Male,JB,Bronze,56,9193.42,Electronics,18/3/2023,Student,13,0
165,62,Male,KL,Silver,69,158.75,Clothing,5/9/2023,Artist,40,1
166,25,Male,JB,Platinum,95,7317.82,Electronics,21/9/2023,Student,38,0
167,30,Female,Ipoh,Bronze,15,9777.68,Clothing,15/4/2023,Teacher,7,0
168,50,Male,Penang,Gold,88,1746.53,Clothing,10/6/2023,Artist,21,0
169,38,Female,Malacca,Platinum,86,625.07,Books,3/5/2023,Marketer,17,0
170,61,Female,KL,Silver,6,3055.01,Books,18/9/2023,Marketer,27,0
171,29,Female,Ipoh,Gold,38,9855.51,Clothing,10/4/2023,Student,42,1
172,47,Female,KL,Bronze,77,5082.94,Books,23/12/2023,Engineer,19,0
173,58,Male,KL,Bronze,18,3530.35,Electronics,26/5/2023,Engineer,36,1
174,18,Female,KL,Platinum,68,9408.76,Groceries,23/7/2023,Student,13,1
175,38,Female,Ipoh,Gold,4,3895.18,Books,21/11/2023,Artist,5,1
176,63,Male,JB,Silver,70,9435.49,Clothing,1/10/2023,Engineer,40,0
177,46,Male,Malacca,Silver,76,1038.48,Electronics,22/12/2023,Engineer,48,1
178,31,Female,KL,Bronze,68,8112.96,Books,3/6/2023,Chef,0,0
179,55,Female,KL,Bronze,43,5107.62,Electronics,6/2/2023,Artist,20,0
180,65,Male,Penang,Platinum,25,4897.92,Electronics,3/12/2023,Engineer,38,1
181,79,Male,Penang,Platinum,64,4155.36,Electronics,19/1/2023,Doctor,36,1
182,57,Female,Penang,Gold,85,3108.73,Books,1/12/2023,Retired,13,0
183,68,Female,Malacca,Silver,4,710.29,Clothing,19/4/2023,Marketer,23,1
184,22,Female,Penang,Silver,62,6718.8,Electronics,24/6/2023,Retired,2,0
185,64,Female,Malacca,Platinum,36,5015.19,Books,19/5/2023,Marketer,13,0
186,30,Male,Malacca,Gold,36,5569.18,Books,20/5/2023,Retired,5,0
187,75,Female,Penang,Silver,60,8060.38,Electronics,7/9/2023,Student,5,0
188,73,Female,JB,Bronze,26,3810.46,Home Goods,30/6/2023,Artist,40,0
189,55,Female,JB,Silver,62,5539.33,Books,8/12/2023,Doctor,13,0
190,66,Female,JB,Platinum,62,2610.18,Books,22/1/2023,Marketer,11,1
191,22,Male,JB,Platinum,29,9767.47,Clothing,14/7/2023,Doctor,0,1
192,59,Male,JB,Gold,30,893.8,Books,8/8/2023,Doctor,21,0
193,54,Female,KL,Gold,79,5165.23,Electronics,19/6/2023,Teacher,37,0
194,34,Female,JB,Bronze,67,1571.43,Groceries,19/8/2023,Marketer,32,1
195,36,Male,JB,Bronze,84,9602.9,Groceries,13/5/2023,Artist,0,0
196,55,Female,KL,Gold,82,3099.66,Groceries,17/3/2023,Student,11,0
197,48,Female,JB,Silver,62,775.04,Clothing,15/7/2023,Marketer,13,1
198,71,Female,Ipoh,Platinum,56,5941.49,Home Goods,24/10/2023,Teacher,10,1
199,64,Male,Penang,Bronze,13,4323.22,Clothing,26/8/2023,Chef,16,1
200,53,Male,Malacca,Bronze,23,2675.87,Books,13/12/2023,Doctor,40,1
201,66,Female,Penang,Silver,28,3397.62,Electronics,20/4/2023,Doctor,42,0
202,18,Female,KL,Silver,91,2133.09,Electronics,2/12/2023,Teacher,18,1
203,67,Male,Ipoh,Silver,80,1302.78,Clothing,1/1/2023,Chef,19,0
204,75,Male,KL,Gold,5,8317.71,Electronics,2/8/2023,Lawyer,23,1
205,27,Male,Penang,Bronze,66,7148.08,Clothing,28/9/2023,Doctor,8,1
206,68,Female,KL,Platinum,57,1998.05,Clothing,3/3/2023,Marketer,7,0
207,51,Female,Ipoh,Silver,12,6433.73,Groceries,9/9/2023,Chef,28,1
208,66,Female,Penang,Bronze,4,6289.98,Electronics,6/7/2023,Artist,7,0
209,67,Male,JB,Bronze,21,5407,Electronics,3/8/2023,Teacher,3,1
210,30,Male,Penang,Gold,65,5220.36,Home Goods,2/2/2023,Artist,32,0
211,24,Female,Ipoh,Bronze,27,9671.77,Groceries,28/6/2023,Artist,43,1
212,78,Female,Penang,Silver,30,9998.25,Electronics,10/6/2023,Teacher,12,1
213,69,Female,Penang,Gold,67,619.98,Clothing,9/8/2023,Retired,12,0
214,54,Female,JB,Platinum,0,5864.93,Clothing,16/2/2023,Chef,32,0
215,53,Female,Malacca,Platinum,39,4048.13,Books,5/5/2023,Lawyer,39,0
216,56,Male,Ipoh,Gold,72,2311.01,Books,21/8/2023,Doctor,6,0
217,54,Female,Penang,Gold,94,5553.63,Home Goods,17/1/2023,Doctor,35,1
218,48,Female,KL,Bronze,44,5297.88,Electronics,2/10/2023,Doctor,46,1
219,68,Female,Ipoh,Silver,35,1060.9,Books,9/12/2023,Chef,14,1
220,37,Male,KL,Silver,12,5972.39,Home Goods,19/2/2023,Doctor,32,1
221,56,Female,Malacca,Silver,68,7090.6,Electronics,4/12/2023,Lawyer,26,0
222,62,Female,Ipoh,Bronze,88,5985.42,Clothing,13/10/2023,Retired,31,0
223,53,Female,KL,Bronze,61,8791.49,Electronics,16/4/2023,Retired,16,0
224,32,Female,Ipoh,Bronze,89,171.29,Books,19/3/2023,Lawyer,15,1
225,47,Female,JB,Platinum,36,8934.19,Groceries,29/9/2023,Engineer,29,1
226,69,Female,Malacca,Bronze,67,5013.24,Clothing,21/2/2023,Artist,32,0
227,78,Female,KL,Platinum,55,614.62,Books,4/1/2023,Student,33,1
228,74,Male,Malacca,Bronze,4,4389.21,Clothing,1/12/2023,Marketer,8,1
229,35,Female,Malacca,Bronze,99,6554.75,Electronics,9/8/2023,Chef,31,1
230,21,Male,JB,Gold,2,417.77,Books,26/11/2023,Student,0,0
231,47,Male,KL,Platinum,84,123.89,Electronics,20/9/2023,Engineer,8,1
232,45,Female,Ipoh,Gold,36,4690.22,Books,14/6/2023,Student,3,0
233,21,Male,JB,Gold,84,1116.9,Electronics,20/10/2023,Student,47,1
234,51,Female,Ipoh,Gold,13,390.58,Groceries,5/8/2023,Retired,35,1
235,71,Male,KL,Platinum,32,7517.1,Groceries,1/12/2023,Marketer,41,1
236,69,Male,Malacca,Platinum,28,3150.17,Clothing,14/11/2023,Lawyer,28,1
237,72,Male,Ipoh,Gold,40,3628.66,Clothing,7/8/2023,Artist,23,1
238,45,Male,JB,Bronze,39,1800.88,Clothing,22/4/2023,Student,14,0
239,54,Female,Malacca,Silver,1,4261.24,Books,26/10/2023,Student,16,0
240,74,Male,KL,Silver,97,9919.59,Home Goods,13/9/2023,Student,34,0
241,39,Male,JB,Silver,67,344.55,Groceries,24/4/2023,Retired,6,0
242,57,Male,Malacca,Platinum,37,7991.88,Electronics,6/10/2023,Doctor,21,1
243,60,Female,Malacca,Platinum,65,494.6,Electronics,27/4/2023,Teacher,12,1
244,28,Female,Penang,Bronze,95,218.42,Home Goods,30/8/2023,Engineer,0,1
245,47,Female,KL,Silver,67,3317.59,Home Goods,12/2/2023,Chef,40,1
246,67,Female,Penang,Silver,3,1011.55,Electronics,25/3/2023,Retired,17,1
247,47,Male,Malacca,Platinum,35,2716.29,Groceries,18/8/2023,Student,39,1
248,79,Male,JB,Bronze,98,3571.39,Electronics,17/9/2023,Lawyer,38,0
249,76,Male,Ipoh,Silver,90,9708.6,Groceries,29/12/2023,Student,43,1
250,42,Female,Penang,Gold,38,7556.61,Home Goods,24/8/2023,Engineer,11,0
251,68,Male,Ipoh,Silver,47,4828.27,Books,28/12/2023,Chef,14,1
252,34,Female,Penang,Platinum,90,8393.32,Books,16/11/2023,Doctor,37,1
253,18,Female,JB,Gold,38,6981.09,Books,16/10/2023,Engineer,43,1
254,54,Female,Malacca,Bronze,65,9649.88,Clothing,14/4/2023,Lawyer,6,1
255,52,Female,Ipoh,Silver,97,2669.21,Clothing,20/12/2023,Artist,48,0
256,77,Female,Ipoh,Bronze,51,7257.95,Clothing,5/6/2023,Lawyer,25,0
257,31,Male,Ipoh,Gold,94,3061.3,Electronics,20/5/2023,Teacher,29,1
258,19,Female,Ipoh,Gold,15,2448.92,Groceries,7/3/2023,Doctor,49,0
259,77,Male,Malacca,Silver,62,7447.56,Home Goods,9/8/2023,Student,19,1
260,20,Female,Ipoh,Platinum,43,6104.13,Clothing,23/1/2023,Student,28,0
261,20,Female,Malacca,Gold,26,7510.94,Groceries,28/5/2023,Doctor,17,0
262,37,Male,Malacca,Bronze,52,5801.62,Clothing,20/12/2023,Student,45,1
263,70,Male,Malacca,Silver,47,1184.24,Books,30/12/2023,Teacher,15,0
264,76,Female,Penang,Silver,64,5992.95,Electronics,3/8/2023,Lawyer,10,1
265,30,Male,Ipoh,Gold,48,8770.48,Electronics,8/8/2023,Teacher,24,1
266,48,Female,Ipoh,Platinum,2,3372.25,Groceries,22/1/2023,Doctor,1,0
267,57,Male,Penang,Gold,55,7005.77,Groceries,17/1/2023,Engineer,43,1
268,39,Female,Malacca,Bronze,42,9648.49,Home Goods,27/12/2023,Doctor,46,1
269,31,Male,JB,Bronze,78,310.61,Groceries,9/10/2023,Retired,27,0
270,67,Male,Ipoh,Platinum,88,8144.15,Groceries,23/10/2023,Marketer,37,1
271,44,Female,Ipoh,Bronze,82,2964.36,Electronics,25/12/2023,Marketer,11,0
272,69,Male,JB,Gold,6,8645.84,Electronics,28/3/2023,Marketer,44,0
273,30,Female,KL,Gold,3,6881.43,Electronics,13/4/2023,Retired,27,1
274,67,Male,Ipoh,Bronze,94,5698.26,Groceries,21/11/2023,Teacher,4,1
275,18,Female,Malacca,Bronze,54,968.45,Groceries,12/4/2023,Lawyer,0,1
276,19,Male,Ipoh,Silver,78,5986.87,Books,11/11/2023,Student,31,1
277,54,Female,JB,Bronze,95,4167.48,Home Goods,19/11/2023,Chef,1,0
278,28,Female,Malacca,Platinum,22,8155.19,Books,11/10/2023,Retired,48,1
279,60,Female,Penang,Platinum,16,1888.98,Clothing,8/9/2023,Lawyer,42,1
280,50,Female,Malacca,Platinum,17,8891.08,Electronics,12/10/2023,Chef,13,0
281,46,Female,Penang,Platinum,10,374.7,Clothing,18/12/2023,Student,20,0
282,76,Female,Penang,Silver,17,6290.87,Books,18/6/2023,Artist,35,0
283,20,Female,KL,Platinum,61,6870.36,Clothing,28/1/2023,Engineer,33,0
284,46,Female,Penang,Gold,69,963.52,Books,7/5/2023,Engineer,20,1
285,19,Female,Malacca,Bronze,56,8793.83,Books,27/8/2023,Student,5,0
286,31,Female,Penang,Silver,23,3530.65,Books,25/5/2023,Doctor,3,1
287,37,Male,JB,Bronze,99,6995.23,Groceries,16/9/2023,Engineer,16,1
288,65,Male,Penang,Silver,57,1158.95,Home Goods,9/7/2023,Retired,25,1
289,35,Female,Penang,Bronze,50,6278.54,Books,8/12/2023,Chef,41,0
290,54,Female,KL,Bronze,3,7413.45,Books,6/3/2023,Retired,8,0
291,25,Male,Ipoh,Bronze,45,1743.01,Clothing,4/8/2023,Engineer,44,1
292,71,Female,Penang,Platinum,27,1838.17,Books,16/6/2023,Doctor,0,1
293,24,Female,Malacca,Gold,62,1756.41,Electronics,14/4/2023,Doctor,16,0
294,27,Female,KL,Bronze,4,8351.88,Books,15/2/2023,Student,28,1
295,33,Male,JB,Bronze,5,246.3,Home Goods,5/11/2023,Retired,32,0
296,36,Female,Ipoh,Silver,41,783.18,Clothing,2/5/2023,Retired,17,0
297,47,Female,Malacca,Platinum,10,9652.86,Groceries,19/11/2023,Doctor,35,0
298,71,Male,JB,Platinum,63,8187.84,Clothing,1/5/2023,Retired,40,0
299,78,Female,KL,Silver,92,3448.4,Electronics,9/2/2023,Doctor,31,1
300,60,Male,JB,Gold,55,4880.74,Electronics,25/3/2023,Retired,39,1
301,36,Female,Ipoh,Silver,12,4934.17,Electronics,12/2/2023,Engineer,29,1
302,20,Female,Penang,Bronze,49,1761.72,Electronics,23/5/2023,Chef,21,0
303,47,Female,Ipoh,Bronze,49,3805.07,Groceries,23/4/2023,Doctor,12,1
304,35,Female,Ipoh,Silver,99,7926.5,Books,11/7/2023,Engineer,14,1
305,53,Female,JB,Gold,35,3966.41,Books,1/1/2023,Lawyer,44,1
306,74,Female,Malacca,Gold,96,683.57,Clothing,10/11/2023,Engineer,15,0
307,37,Female,Ipoh,Platinum,76,7924.73,Groceries,22/2/2023,Marketer,42,0
308,34,Male,JB,Silver,48,9484.59,Electronics,14/7/2023,Student,22,1
309,41,Male,JB,Silver,86,2768.6,Clothing,26/5/2023,Marketer,3,1
310,30,Male,Penang,Bronze,83,2419.02,Home Goods,30/4/2023,Marketer,48,1
311,53,Female,KL,Gold,19,6172.02,Groceries,19/8/2023,Lawyer,32,1
312,63,Male,Penang,Silver,65,383.66,Clothing,15/6/2023,Doctor,31,1
313,74,Male,JB,Platinum,3,1600.21,Groceries,19/6/2023,Retired,24,1
314,20,Female,Penang,Bronze,65,3955.37,Books,19/5/2023,Lawyer,6,0
315,38,Female,Penang,Bronze,93,8353.22,Home Goods,29/6/2023,Student,6,0
316,21,Female,Ipoh,Gold,98,6847.1,Electronics,12/5/2023,Chef,4,1
317,35,Female,Penang,Gold,41,696.41,Electronics,17/8/2023,Teacher,4,0
318,62,Female,JB,Platinum,2,4693.35,Clothing,10/6/2023,Engineer,23,1
319,56,Female,Ipoh,Silver,42,5390.68,Clothing,27/12/2023,Artist,29,0
320,60,Male,Ipoh,Silver,72,8283.27,Electronics,30/7/2023,Retired,39,1
321,28,Female,KL,Gold,4,1408.5,Home Goods,21/3/2023,Student,20,1
322,55,Male,Penang,Gold,42,3425.94,Home Goods,3/3/2023,Marketer,23,1
323,60,Female,Malacca,Bronze,62,6832.4,Groceries,15/11/2023,Lawyer,6,1
